epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0385,1.4909,3.70757,1.7396,0.00391,0.85714,0.16704,0.0982,0.99714,4.05511,1.44725,8.181e-05,8.181e-05,8.181e-05
2,51.7762,1.04913,3.51028,1.47572,0.00413,0.85714,0.22579,0.05623,1.47172,4.13409,1.68391,0.00016929,0.00016929,0.00016929
3,76.4307,0.86601,3.345,1.32493,0.00426,0.85714,0.13717,0.0785,1.52685,4.10342,1.77852,0.000253171,0.000253171,0.000253171
4,101.746,0.85551,3.20135,1.3203,0.004,0.78571,0.07126,0.0449,1.29642,3.97172,1.67852,0.000333452,0.000333452,0.000333452
5,126.947,0.78261,3.02024,1.26618,0.00396,0.85714,0.14251,0.08953,1.28457,3.9162,1.67092,0.000410134,0.000410134,0.000410134
6,152.251,0.8792,2.93524,1.34471,0.00424,0.85714,0.17393,0.10972,1.0472,3.70649,1.50672,0.000483215,0.000483215,0.000483215
7,177.529,0.84729,2.8604,1.3046,0.73657,0.07143,0.16235,0.09714,1.24681,3.7056,1.59711,0.000552697,0.000552697,0.000552697
8,202.441,0.86905,2.78763,1.31408,0.23912,0.20895,0.1267,0.07973,1.32491,4.00989,1.93005,0.00061858,0.00061858,0.00061858
9,227.617,0.82155,2.70922,1.27138,0.55129,0.30952,0.13938,0.09094,1.38769,5.68447,1.68208,0.000680863,0.000680863,0.000680863
10,253.964,0.8702,2.71334,1.28994,0.20881,0.30952,0.19819,0.12444,1.26137,4.55469,1.51952,0.000739546,0.000739546,0.000739546
11,279.37,0.85514,2.67514,1.28343,0.20527,0.21429,0.16306,0.11985,1.41567,5.34734,1.56365,0.000729018,0.000729018,0.000729018
12,304.383,0.84935,2.63102,1.28981,0.21034,0.30952,0.16046,0.06633,1.86231,3.88311,2.15612,0.00071102,0.00071102,0.00071102
13,329.535,0.81074,2.54269,1.24385,0.14266,0.19048,0.15561,0.06326,1.91493,4.40816,2.25471,0.000693022,0.000693022,0.000693022
14,354.66,0.8069,2.46763,1.22847,0.12265,0.21429,0.16172,0.10161,1.52026,4.96285,1.95863,0.000675023,0.000675023,0.000675023
15,379.574,0.78255,2.46668,1.19096,0.09814,0.35714,0.17075,0.12622,1.23688,3.57325,1.59025,0.000657025,0.000657025,0.000657025
16,404.58,0.77222,2.43918,1.213,0.0774,0.21429,0.1572,0.10622,1.13143,3.49343,1.66019,0.000639027,0.000639027,0.000639027
17,429.551,0.82913,2.40276,1.25095,0.08941,0.33333,0.16893,0.11201,1.21507,3.54539,1.65437,0.000621029,0.000621029,0.000621029
18,454.895,0.74941,2.39127,1.19227,0.14155,0.2619,0.19903,0.1306,1.04549,3.17569,1.51646,0.000603031,0.000603031,0.000603031
19,480.575,0.73157,2.33189,1.19459,0.14618,0.26183,0.21739,0.14271,1.01184,3.44102,1.46502,0.000585032,0.000585032,0.000585032
20,507.099,0.76806,2.32376,1.19244,0.07367,0.2381,0.17452,0.10593,1.03489,3.34593,1.31033,0.000567034,0.000567034,0.000567034
21,532.82,0.719,2.29598,1.1513,0.92849,0.07143,0.1449,0.10826,0.86847,3.66424,1.1519,0.000549036,0.000549036,0.000549036
22,558.027,0.67513,2.28705,1.17375,0.21863,0.39105,0.18408,0.12335,1.03857,3.30261,1.22341,0.000531038,0.000531038,0.000531038
23,582.967,0.72221,2.27909,1.17583,0.23676,0.22758,0.27716,0.17298,0.97944,3.17183,1.20416,0.00051304,0.00051304,0.00051304
24,608.447,0.69293,2.24811,1.16885,0.11372,0.21429,0.22815,0.1311,0.98547,3.3931,1.18209,0.000495041,0.000495041,0.000495041
25,634.989,0.65052,2.19076,1.14891,0.16143,0.21223,0.27102,0.16001,0.99917,3.29975,1.22195,0.000477043,0.000477043,0.000477043
26,661.842,0.6666,2.17327,1.15606,0.13558,0.28798,0.1957,0.1419,0.87885,3.09407,1.23633,0.000459045,0.000459045,0.000459045
27,687.789,0.60837,2.12543,1.09804,0.14114,0.2381,0.24123,0.1833,0.75833,2.98165,1.12185,0.000441047,0.000441047,0.000441047
28,713.087,0.62392,2.11766,1.0857,0.12783,0.38095,0.23146,0.157,0.80502,2.90375,1.10506,0.000423049,0.000423049,0.000423049
29,738.456,0.63495,2.15928,1.1018,0.12494,0.40476,0.23084,0.16094,0.8475,2.86704,1.11929,0.00040505,0.00040505,0.00040505
30,764.048,0.63184,2.14806,1.12682,0.14109,0.36862,0.33425,0.24969,0.82614,2.79357,1.12459,0.000387052,0.000387052,0.000387052
31,790.035,0.64755,2.1157,1.13477,0.27831,0.34237,0.38278,0.2526,0.78396,2.82195,1.09646,0.000369054,0.000369054,0.000369054
32,816.203,0.58334,2.09845,1.1076,0.29932,0.35053,0.33859,0.20756,0.83123,3.00181,1.15241,0.000351056,0.000351056,0.000351056
